"","gene_symbol","2021_02_12_DS1_Cell","2021_02_12_DS1_Pt","2021_02_12_DS76_Cell","2021_02_12_DS81_Cell","2024_07_02_DS76_Pt","2024_07_02_DS81_Pt"
"15306","OLFML1",0,0,0,0,0,1
"15307","FAM162B",0,0,0,0,0,0
"15308","RBM12B",2995,1147,1138,1537,1236,288
"15309","CCR4",13,28,14,5,30,15
"15310","LIN9",790,947,628,819,423,111
"15311","BTBD9",1063,823,647,520,459,282
"15312","NUDT14",422,336,151,257,240,1461
"15314","CFAP91",0,0,0,0,0,0
"15315","PNMA3",572,441,10,24,69,424
"15316","GPR39",0,0,0,0,0,0
"15317","FAM3B",0,0,0,0,0,2
"15318","ZNF730",732,272,96,257,79,15
"15319","KIRREL1",462,489,169,365,268,590
"15320","IQGAP3",11203,7518,1560,2012,7192,8375
"15321","CNGA2",0,0,0,0,0,0
"15322","TOB2",6127,4743,3010,3717,1826,2351
"15323","SCN5A",0,8,0,55,0,2
"15324","ARSI",8,21,0,1,0,1
"15325","UTY",0,32,975,758,972,351
"15326","SRARP",3,0,0,0,0,0
"15328","TTC32",346,487,156,101,487,169
"15329","LRRC55",0,0,0,0,0,0
"15332","DNAH2",0,0,1,0,1,1
"15333","SH2D1A",0,27,0,0,15,33
"15334","SDR42E2",1,0,0,1,3,7
"15336","HTR7P1",93,223,184,48,304,31
"15337","TRBV21OR9-2",0,0,0,0,0,0
"15338","PRKX",5278,5298,2359,2930,2068,1942
"15339","KMT5A",5047,5071,2611,3595,2660,4634
"15340","KCNH8",57,84,6,5,29,11
"15341","SMTN",935,702,263,240,456,1931
"15342","NPW",1099,796,11,1220,39,708
"15343","PP2D1",0,0,0,0,0,0
"15344","COA3",750,917,680,688,688,1769
"15345","NPB",18,9,20,18,7,50
"15347","ST6GALNAC3",0,0,31,62,6,22
"15348","PTP4A2",10454,12539,8742,9446,5541,4991
"15349","ACTG1",253930,247939,145674,117680,92822,101236
"15350","TMPRSS2",0,0,0,0,0,0
"15351","DENND5A",7099,7854,4401,2983,4264,1912
"15352","OR2T10",0,0,0,0,0,0
"15353","KRTAP20-2",0,0,0,0,0,0
"15354","CTAG1B",0,0,0,0,0,0
"15355","DIABLO",2019,1476,1392,1522,990,2003
"15357","VPS33B",345,447,318,378,363,1286
"15358","TBX1",24,11,12,1,6,29
"15359","ADAP2",90,81,159,60,194,255
"15360","UQCR10",2269,2851,2303,1865,2002,3204
"15361","FAM120C",2546,1949,674,841,963,502
"15363","BRD7P2",11,11,9,5,0,0
"15365","TRIML1",0,0,0,0,0,0
"15366","EIF3C",7359,5570,2889,3290,3113,11838
"15367","RPL11P4",3,0,0,0,0,0
"15368","CLDN5",0,2,0,0,0,1
"15370","NIPSNAP1",27,22,0,4,6,1
"15371","RPL7AP28",0,0,0,0,0,0
"15372","OR4F6",0,0,0,0,0,0
"15373","CNTN2",31,16,5,3,29,22
"15374","SPRR4",0,0,0,0,0,0
"15375","LRRC51",84,101,59,27,97,42
"15376","OR10J5",0,0,0,0,0,0
"15377","KCNQ3",6,1,27,149,0,50
"15378","ADRA2C",0,0,0,0,0,0
"15379","NR2C2AP",161,198,136,152,223,499
"15380","C1QTNF12",49,42,6,0,40,420
"15381","CRELD2",2416,2413,1897,1162,1274,4634
"15382","OR1D2",71,20,16,21,71,205
"15383","SCFD2",865,794,737,467,806,255
"15384","UBE2F",1238,1335,1242,589,689,885
"15385","KCNJ12",46,66,0,40,3,374
"15387","GPR173",1319,1015,0,43,1,800
"15388","PPP1R2",1536,2096,1237,1261,1034,614
"15389","TSPYL2",8337,4855,577,1094,646,6711
"15391","PGP",1864,1548,852,1218,1676,4313
"15392","C22orf46P",1345,758,870,473,635,1000
"15393","SNRNP35",964,1040,778,565,525,1282
"15394","DGAT2L6",0,0,15,9,2,3
"15395","IRAK1",16988,19604,8227,8620,7793,10991
"15396","CMSS1",2079,2133,1397,2283,849,1423
"15397","OLIG1",0,11,0,2,64,82
"15398","PCDH9",15,4,32,2179,2069,758
"15399","ACOT1",106,169,85,59,77,269
"15400","OAF",1033,866,504,838,523,899
"15401","ALDH1A3",0,10,0,4,6,1
"15402","H2AC20",5,33,15,18,90,103
"15403","KCNK12",27124,22197,8644,5188,3212,3682
"15404","H2AC21",0,4,0,6,61,29
"15405","POU6F1",634,206,33,38,47,265
"15406","DEFB108B",0,0,0,0,0,0
"15407","TM2D3",933,472,368,576,378,718
"15408","TSSC4",183,477,167,203,1413,2042
"15409","TACSTD2",1,0,0,0,55,6
"15410","CLECL1P",164,213,969,321,819,216
"15411","SIX6",0,0,0,0,0,0
"15413","PRKD1",0,0,0,0,0,0
"15414","CCSER1",0,0,0,0,0,0
"15415","ZDHHC23",114,64,26,77,303,116
"15416","MROH7",1,0,0,0,2,7
"15419","S100A7A",0,0,0,0,0,0
"15420","SRPK3",4,2,0,0,0,0
"15421","GDF3",0,0,0,0,0,0
"15422","IQCF2",0,0,0,0,0,0
"15423","SLIT3",0,0,0,0,3,1
"15424","EFNA5",0,0,0,0,0,0
"15425","MRGPRE",0,22,0,0,0,20
"15426","KRTAP19-1",0,0,0,0,0,0
"15427","H1-5",17,29,7,9,219,235
"15428","SPATA32",3,0,1,2,6,4
"15429","PKP3",0,0,14,0,21,5
"15430","MAP7D2",10,13,5,65,5,20
"15431","CSF1",10,17,0,0,7,4
"15432","COLEC10",0,0,0,0,0,0
"15433","ACTRT3",43,33,8,24,6,34
"15434","PLA2G6",5248,4525,1011,930,4448,7169
"15435","MAML2",522,637,1468,2390,1028,200
"15436","PABPC1L2B",0,0,0,0,0,0
"15437","A3GALT2",0,0,0,0,5,1
"15438","OR4N5",0,0,0,0,0,0
"15439","SS18L1",2003,973,625,289,943,325
"15440","KCND2",0,0,0,0,0,0
"15443","TOP1MT",3361,3342,2476,2006,1768,2089
