"","gene_symbol","2021_02_12_DS1_Cell","2021_02_12_DS1_Pt","2021_02_12_DS76_Cell","2021_02_12_DS81_Cell","2024_07_02_DS76_Pt","2024_07_02_DS81_Pt"
"4525","CHD5",110,56,9,34,13,55
"4526","QSOX1",1890,1955,1577,1520,1272,4003
"4527","STXBP3",2592,2315,1368,1427,1015,476
"4528","PHF13",1914,636,915,1272,640,1152
"4529","ERRFI1",23,9,0,3,12,0
"4530","PARK7",3542,4337,3181,3002,2637,4391
"4531","ELAPOR1",26,34,7,15,104,96
"4532","OPRD1",4,6,2,0,0,1
"4533","AMPD2",2755,2580,1883,1526,7565,2654
"4534","SRSF4",9763,8272,5685,5244,5577,4598
"4535","MECR",399,464,178,227,417,722
"4536","KCNC4",380,455,83,355,255,257
"4537","EDEM3",285,64,19,73,395,53
"4538","WDR77",43,123,115,96,217,133
"4539","ATP5PB",5318,6333,5235,5090,4287,4335
"4540","RAP1A",2312,2145,2615,1686,1295,755
"4541","HDAC1",7230,8432,4496,5179,5240,7111
"4542","CAPZA1",8228,7969,7369,7810,3582,1855
"4543","S100PBP",589,466,200,209,416,230
"4544","RNF19B",845,1097,803,347,1571,1262
"4545","SCAMP3",1531,2373,1237,2016,1598,3112
"4546","TRIM62",0,12,0,13,66,0
"4547","ASH1L",4262,2495,2466,3094,2996,548
"4548","DLGAP3",868,252,23,122,25,174
"4549","SFPQ",28075,36465,25856,27085,21177,13449
"4550","RHOU",200,186,15,71,174,137
"4551","GON4L",4604,3935,2543,2525,3978,3035
"4552","ARHGEF2",6637,11695,5275,4189,9887,6150
"4553","LAMTOR2",1250,1769,1614,1054,1047,2221
"4554","MEF2D",17502,18239,12639,14238,10088,6947
"4555","DOCK7",2496,2672,1057,1222,776,321
"4556","SRM",4285,4304,3841,6036,2910,8686
"4557","FBXO2",0,1,3,0,22,27
"4558","FBXO6",252,355,498,93,278,706
"4559","C1orf21",2427,1550,46,980,43,718
"4560","SWT1",350,307,270,85,202,148
"4561","MAD2L2",3372,3338,3344,3176,4128,6983
"4562","DNAJC6",127,352,0,209,24,66
"4563","LEPR",259,292,31,78,76,71
"4564","IVNS1ABP",9375,4653,4770,6341,3007,3748
"4565","KIAA2013",3742,3642,2815,3424,2523,5108
"4566","MFN2",5225,5664,3969,3816,315,258
"4567","PRG4",0,0,0,0,7,0
"4568","MIIP",1870,1914,1038,1013,2040,8971
"4569","SMG7",6909,7154,5719,4892,5153,3426
"4570","NCF2",18,296,769,15,1456,1145
"4571","PDC",0,0,0,0,0,0
"4572","SLC35D1",2707,2067,1266,1524,1326,562
"4573","PLA2G4A",0,3,0,0,0,2
"4574","GADD45A",800,1075,1916,619,957,1547
"4575","PRAMEF1",0,0,0,0,0,0
"4576","PRAMEF12",0,0,0,0,0,0
"4577","WLS",0,4,0,215,8,210
"4578","PRDM2",5272,3209,3822,4277,3276,1021
"4579","RGS2",36,504,69,1474,197,846
"4580","RPE65",0,0,0,0,0,0
"4581","RO60",2880,1897,1560,2110,467,130
"4582","AMPD1",0,0,0,0,3,1
"4583","UCHL5",2140,2103,1430,2223,601,362
"4584","BCAS2",1451,1879,1092,1084,382,556
"4585","SRSF11",15933,14040,5940,5814,8259,2102
"4586","CTH",94,47,10,149,17,29
"4587","AGMAT",242,210,3,4,20,9
"4588","OLFML3",1,0,24,10,3,3
"4589","TNNI3K",10,2,0,2,4,11
"4590","CFHR3",0,0,0,0,0,0
"4591","PLEKHM2",5561,6238,3982,2842,3679,7121
"4592","CRYZ",107,164,67,83,117,265
"4593","PHTF1",2252,1799,1450,1038,1440,897
"4594","ZBTB17",2959,2903,1421,1437,2299,4713
"4595","CD58",779,479,169,98,861,154
"4596","TFAP2E",28,75,26,16,138,166
"4597","CD2",0,75,34,0,76,332
"4598","TTF2",6019,5050,2747,4902,3309,1734
"4599","NR5A2",2,2,5,0,3,5
"4600","KIF21B",1400,1265,2040,2773,3383,3766
"4601","TMEM9",2261,2344,560,972,1203,2583
"4602","ADPRS",1675,1269,1196,1234,1155,3312
"4603","MAP7D1",9725,10993,7427,6976,5737,8861
"4604","WARS2",485,501,444,495,204,182
"4605","HAO2",0,0,0,0,0,0
"4606","OSCP1",84,65,39,31,54,21
"4607","MRPS15",1579,2038,1814,1157,1848,2215
"4608","EXOC8",1341,734,738,800,604,176
"4609","GNPAT",2374,3024,1795,1908,1873,1934
"4610","TSNAX",2438,2397,3093,2377,1265,444
"4611","C1orf109",1176,773,730,863,555,322
"4612","RRAGC",1928,2110,1510,1114,707,733
"4613","NID1",0,45,0,0,24,14
"4614","LGALS8",3826,3378,1888,2104,1986,945
"4615","NT5C1A",2,1,0,1,0,0
"4616","HPCAL4",0,9,0,0,1,24
"4617","MTR",1909,1747,1121,944,817,33
"4618","BMP8B",19,10,10,248,7,32
"4619","MYCL",18,21,89,35,14,25
"4620","SIPA1L2",278,68,541,17,860,340
"4621","ZP4",0,0,0,0,0,0
"4622","RLF",2686,1088,1310,1710,616,489
"4623","KMO",16,87,87,71,314,117
"4624","ZNF684",253,190,100,118,134,100
"4625","KCNQ4",66,45,10,26,11,131
"4626","RIMS3",2070,343,1059,1320,2122,1212
"4627","AKT3",503,258,28,389,649,75
"4628","ETV3",2144,1839,1380,1639,675,345
"4629","ACADM",6391,5839,4195,2981,2462,842
"4630","ST6GALNAC5",0,0,0,0,0,0
"4631","SLAMF1",9,3,12,64,0,0
"4632","CD48",90,266,1730,1959,1798,1240
"4633","ADGRL2",1,4,0,0,0,1
"4634","PADI2",17,21,830,2,483,319
"4635","SDHB",2532,3492,1999,1929,1798,2261
"4636","MFAP2",75,46,14,17,74,279
"4637","RPF1",2045,2500,1833,2036,1008,990
"4638","KDM5B",12986,4158,2294,3388,1288,609
"4639","UAP1",1991,1751,267,919,121,273
"4640","ACTL8",10,0,1,9,0,1
"4641","CTBS",662,664,405,367,341,180
"4642","RGS4",0,0,0,48,0,0
"4643","KLHL12",2034,1935,1450,1221,1288,1194
"4644","IGSF21",0,2,0,0,0,4
"4645","SSX2IP",809,554,550,537,479,199
"4646","ZNHIT6",2002,2046,1304,1840,617,317
"4647","PLA2G2D",0,2,7,3,57,27
"4648","RBBP5",763,752,527,672,312,0
"4649","GBP3",726,450,699,256,822,330
"4650","GBP1",6176,6275,1607,829,1641,1140
"4651","KIF17",3,3,10,0,76,6
"4652","GPR89A",528,679,366,540,503,966
"4653","CDK18",2336,2080,712,939,1374,3474
"4654","RAB29",612,448,902,265,495,417
"4655","CD160",0,15,0,0,9,3
"4656","ECE1",287,852,89,30,619,2729
"4657","HMGCL",1030,902,712,515,726,1921
"4658","GALE",442,483,413,287,548,734
"4659","ID3",2432,301,3240,2939,3507,8207
"4660","CR2",0,0,11,8,233,8
"4661","CD46",4353,3358,1810,1782,3176,1208
"4662","PRPF3",3971,3231,2228,2884,3315,4569
"4663","APH1A",6656,6597,4988,5465,4875,8182
"4664","P3H1",4149,3156,1206,1389,2766,3798
"4665","SLC2A1",4221,4133,1743,2829,2378,1920
"4666","EBNA1BP2",3647,4358,3265,3797,1713,2796
"4667","CDC20",468,635,670,552,1866,1248
"4668","MPL",0,1,0,0,72,2
"4669","ARTN",1136,162,560,628,266,1284
"4670","IPO13",2773,2925,1659,1764,1739,4562
"4671","ATP6V0B",3278,4132,2345,2783,4390,9290
"4672","B4GALT2",1409,1592,1025,2183,856,2833
"4673","ERI3",1597,2248,1191,1399,1607,3098
"4674","PTCH2",117,79,14,18,107,325
"4675","AKR1A1",6195,6626,5698,4737,6367,11453
"4676","PRDX1",2795,1274,2927,1822,2682,5427
"4677","PIK3R3",520,262,40,67,259,468
"4678","TSPAN1",0,0,0,0,0,1
"4679","BLZF1",476,488,398,283,372,185
"4680","CCDC181",3,0,0,0,0,0
"4681","SLC19A2",114,21,1,0,0,13
"4682","FAAH",3645,3303,542,930,1563,3078
"4683","NSUN4",1707,1664,1284,1665,1306,1009
"4684","TMED5",2633,2347,1488,2676,851,779
"4685","MROH9",0,0,0,0,0,0
"4686","DR1",4609,4808,3494,4327,2027,1043
"4687","FMO6P",0,0,0,0,0,0
"4688","CNN3",1485,44,240,1115,26,493
"4689","PRRC2C",20719,18246,12605,15018,10100,1830
"4690","F3",21,0,7,3,3,0
"4691","ABCD3",1958,1807,1462,1472,707,286
"4692","VAMP4",161,308,135,171,164,0
"4693","DPH5",1005,966,801,700,734,1005
"4694","FASLG",0,9,0,0,10,17
"4695","PTBP2",1171,817,525,537,695,303
"4696","TNFSF4",127,522,883,85,513,280
"4697","PRDX6",7495,8929,5264,5107,3706,8081
"4698","DARS2",1502,1679,1234,1223,1441,614
"4699","HSD11B1",1,0,0,0,1,52
"4700","IRF6",0,0,0,3,0,3
"4701","UTP25",1546,1035,1198,1439,738,371
"4702","PLPPR5",0,0,0,0,0,0
"4703","PLPPR4",0,0,0,0,0,0
"4704","SERPINC1",1,0,0,0,2,27
"4705","RCAN3",852,721,440,490,564,235
"4706","SYF2",4366,4483,3078,2896,1454,1780
"4707","RSRP1",9166,3878,980,902,6052,1755
"4708","SLC35A3",2317,1874,778,1090,839,275
"4709","RCOR3",2326,2279,1052,1178,1526,686
"4710","STMN1",33788,34817,29982,28099,21960,29686
"4711","MTFR1L",1423,997,1001,890,1648,1359
"4712","MAN1C1",418,77,615,567,152,384
"4713","NEK2",1382,1468,1258,1234,1009,421
"4714","RPS6KA1",4023,6944,5438,5519,6946,8191
"4715","DHDDS",818,1029,418,380,984,832
"4716","NENF",885,1145,642,727,791,2675
"4717","NSL1",2053,2071,1481,1408,1284,955
"4718","PROX1",0,0,0,3,0,0
"4719","ARID1A",9011,6613,6365,7091,8695,3647
"4720","CENPF",17931,12580,13247,15478,7681,2347
"4721","RPA2",6555,6420,3145,2853,2137,3347
"4722","PPP1R8",1064,819,845,858,538,189
"4723","STX12",1543,1422,633,592,604,565
"4724","MTARC2",0,0,10,0,85,3
"4725","SLC5A9",0,0,0,0,0,11
"4726","OSBPL9",6632,5538,4472,3827,2284,792
"4727","TXNDC12",2785,1897,1967,4203,1673,2223
"4728","ESYT2",1682,5741,1856,2108,2887,22
"4729","POLR1G",1126,815,1173,1751,560,426
"4730","MESD",4006,3788,2449,3071,1642,1835
"4731","RCN2",3993,3855,1998,2680,1528,1221
"4732","CHRNB4",0,154,45,46,500,523
"4733","MUC5B",0,0,0,0,0,1
"4734","CTSD",3838,5497,12910,5241,3338,8933
"4735","COLEC11",0,0,0,0,0,8
"4736","STAG1",4037,5184,2949,3277,2330,790
"4737","A4GNT",0,0,0,0,0,0
"4738","STK11",2724,2457,1274,1147,3034,2326
"4739","KMT2A",7246,5463,4116,5894,7530,1637
"4740","TREH",2,0,0,0,0,0
"4741","IFT46",791,691,520,562,347,1066
"4742","MMP8",0,20,0,3,1356,307
"4743","APOA1",9,21,6,8,35,73
"4744","ZNF541",0,0,0,1,0,8
"4745","SLC8A2",2,3,0,3,23,32
"4746","KPTN",421,662,229,119,889,1332
"4747","RPS25",35094,36068,27588,33162,20915,27590
"4748","KIF14",3390,2403,1902,2354,1253,217
"4749","TNNT2",1,0,0,0,0,1
"4750","DDX59",67,35,16,60,78,190
"4751","CAMSAP2",543,407,64,655,103,123
"4752","ATF6",3586,3330,1973,2206,1235,750
"4753","CRYGD",0,0,0,0,1,0
"4754","MREG",65,0,0,240,0,19
"4755","TNP1",0,0,0,0,0,0
"4756","FASTKD2",874,775,703,516,655,550
"4757","NRP2",10,19,33,173,112,120
"4758","CREB1",4436,3318,2949,2908,1851,827
"4759","KLF7",471,526,143,30,441,320
"4760","TTR",0,0,0,0,0,0
"4761","B4GALT6",660,548,404,186,819,112
"4762","C1orf54",407,405,97,38,193,650
"4763","CA14",4,4,0,0,12,7
"4764","DNAI7",2,2,3,0,0,0
"4765","IRAG2",38677,20280,13140,9364,7720,3830
"4766","ATP10B",4,7,2,7,3,2
"4767","SPCS2",2449,2567,2203,2918,1349,2244
"4768","USP35",594,636,147,116,747,585
"4769","ELOVL4",0,0,0,0,3,2
"4770","FILIP1",8,0,0,4,3,1
"4771","CASP8AP2",3237,2581,1613,2178,1288,46
"4772","HMGN3",2216,2852,1597,1572,985,836
"4773","UBE3D",138,170,83,141,91,106
"4774","CNR1",0,0,0,0,1,0
"4775","SPACA1",0,0,0,0,0,0
"4776","ANKRD13C",1404,1179,948,1020,712,271
"4777","SGIP1",0,11,4,2,2,11
"4778","PHF3",7982,6393,4626,4960,2233,581
"4779","ZC2HC1B",0,0,0,0,0,0
"4780","ADGB",0,0,0,0,1,0
"4781","PLAGL1",3203,2095,27,995,142,492
"4782","FBXO30",1900,806,872,822,396,122
"4783","TNFAIP3",5867,6141,2707,1386,2056,1786
"4784","AKAP7",540,651,353,374,212,72
"4785","RAB32",0,26,0,0,28,89
"4786","MYB",38968,26211,20805,18257,12841,3979
"4787","ALDH8A1",33,17,5,8,14,77
"4788","SGK1",87,184,204,229,139,605
"4789","RNF146",1750,900,567,817,512,516
"4790","ARG1",0,159,0,0,146,121
"4791","CCN2",223,700,175,228,1322,1683
"4792","TCF21",0,0,0,0,0,0
"4793","PMFBP1",69,60,17,26,33,5
"4794","FBXL5",2359,4449,1688,1170,2426,939
"4795","MED28",453,404,503,569,175,208
"4796","SLC16A7",1078,1269,672,523,410,47
"4797","RXYLT1",269,455,205,196,183,365
"4798","ZNF430",10,2,2,11,81,11
"4799","VAMP8",115,48,52,22,121,88
"4800","DCLRE1B",1749,1534,956,1416,639,607
"4801","MYL12B",7758,8132,6437,5968,4868,7614
"4802","FOXO3",75,238,11,82,217,246
"4803","ARMC2",47,62,55,39,174,55
"4804","GHRH",0,0,0,0,0,0
"4805","RPN2",1919,2447,1517,2141,2033,2468
"4806","TGIF2",4035,2723,2364,2390,1825,2071
"4807","CASQ2",0,0,0,0,0,2
"4808","OLFM3",0,0,0,0,0,0
"4809","PKD2",4106,2391,1893,706,3604,378
"4810","ABCG2",193,142,171,14,36,22
"4811","SPP1",18,14,2861,730,3,130
"4812","STBD1",0,1,153,40,41,16
"4813","CCNI",19998,23094,12556,8188,6924,3988
"4814","RARRES1",0,4,0,0,0,1
"4815","MFSD1",2776,3267,2057,1999,1084,766
"4816","RAB3GAP2",3675,2748,2014,2497,1632,618
"4817","EEF2KMT",453,497,529,531,466,561
"4818","PPL",0,0,0,0,0,1
"4819","UBN1",1642,906,921,1013,1777,2346
"4821","KLF12",3291,2851,1977,2785,1475,351
"4822","UCHL3",789,1082,599,855,581,751
"4823","PCDH17",0,0,0,0,1,0
"4824","HS1BP3",765,942,605,431,578,908
"4825","LDAH",1530,1437,602,454,781,312
"4826","WDR35",1,15,0,0,90,6
"4827","CCND2",9572,4116,9217,59,1999,838
"4828","FGF23",13,0,0,2,0,1
"4830","ELL2",225,610,256,402,158,343
"4832","DNAH7",0,2,0,0,8,34
"4833","CYP20A1",798,658,326,447,574,454
"4834","NDUFB3",1881,2015,1657,1374,1166,1700
"4835","GTF3C3",2469,2323,1103,1202,1490,915
"4836","SATB2",0,0,8,66,21,13
"4837","UBE2B",2109,1885,1136,1231,801,960
"4838","TRPM6",1,3,0,3,46,38
"4839","GDA",0,0,0,0,0,0
"4840","KLF9",1719,2618,630,776,204,997
"4841","TJP2",6253,5103,4953,1722,3309,1445
"4842","ECRG4",0,0,0,0,0,4
"4843","ITGB1BP1",2526,3265,1336,1451,1882,4527
"4844","CPSF3",4425,3809,3268,3129,1619,1920
"4845","PIGZ",205,146,58,52,63,91
"4846","SENP5",435,380,233,328,320,24
"4847","CCDC92",709,561,233,128,307,171
"4848","C1orf198",1368,1006,200,827,12,0
"4849","TRIM67",0,0,0,0,0,0
"4850","HEATR1",3937,2938,3196,3564,2352,877
"4851","PTBP3",9626,9831,6906,5329,3329,791
"4852","RAD23B",8732,10727,7006,6092,2958,1376
"4853","FKBP15",4861,4131,3134,2120,3893,3271
"4854","CTNNAL1",2995,2974,1516,1321,990,1072
"4855","ABITRAM",22,7,5,0,24,1
"4856","DYNC2I2",3923,5134,2350,1431,4904,13133
"4857","SET",12239,14745,13310,12177,6326,3137
"4858","PTPA",3659,4854,5220,2148,3887,10966
"4859","GLE1",5316,4990,4814,2755,3095,3493
"4860","RAB14",4346,4389,3764,2731,2114,1967
"4861","CNTRL",7739,4991,4159,3813,7429,1269
"4862","TRIM32",1129,546,510,373,238,366
"4863","FBXW2",5484,4112,3646,2469,2860,1601
"4864","PHF19",7586,4067,5119,4287,4086,5410
"4865","NEK6",491,1619,1097,442,1096,1048
"4866","BSPRY",843,259,2192,312,900,1014
"4867","PPP6C",3810,3566,2729,1925,1568,1366
"4868","NDUFA8",1367,1742,900,645,960,1686
"4869","HDHD3",670,638,291,182,861,2340
"4870","RBM18",1671,1691,763,670,683,682
"4871","SLC46A2",3,14,1,0,2,0
"4872","HSDL2",1846,2717,1442,728,682,504
"4873","MAPKAP1",4530,5005,3945,2841,3341,2956
"4874","NR4A3",18,353,132,8,0,8
"4875","INVS",1701,2196,740,486,889,517
"4876","GALNT12",100,136,10,166,18,104
"4877","DENND1A",2415,3105,1253,1367,1334,1857
"4878","ALG2",1158,636,563,409,308,451
"4879","CSF3R",985,3132,268,3,9819,7602
"4880","KDSR",3130,2466,1518,2173,952,913
"4881","VPS4B",372,233,335,244,241,19
"4882","ONECUT2",0,0,2,425,0,83
"4883","C19orf25",1359,962,954,853,1012,3723
"4884","ZBTB45",1281,698,940,713,599,936
"4885","YLPM1",7121,6580,5299,4852,4052,2490
"4886","DCAF4",719,788,582,693,742,801
"4887","PROX2",0,0,0,0,3,0
"4888","VSX2",0,5,0,0,0,0
"4889","FCF1",2984,3648,2263,1991,1140,798
"4890","PGF",14,16,16,5,55,303
"4891","IFI27L2",575,573,229,274,0,0
"4892","BBOF1",329,419,170,111,113,79
"4893","NEK9",7630,5888,4391,3362,5254,4664
"4894","ACYP1",568,688,177,176,684,678
"4895","IFT43",32,67,15,6,30,103
"4896","NPC2",3172,3017,1623,888,967,1685
"4898","DNAL1",631,728,285,275,477,684
"4899","IRF2BPL",440,1310,1766,333,1025,749
"4900","ACOT2",951,1155,402,316,356,653
"4901","LTBP2",132,426,41,56,162,42
"4902","AREL1",3183,2468,2170,1296,2893,1034
"4903","MLH3",789,532,236,340,607,623
"4904","TTLL5",1071,1298,659,523,460,300
"4905","FLVCR2",20,44,30,3,15,50
"4906","ABCD4",5430,4616,1628,1904,4057,7850
"4907","DLST",5493,5979,4413,2482,5268,5762
"4908","PPP4R4",3,3,2,4,2,0
"4909","TGFB3",140,193,24,32,100,174
"4910","ZC2HC1C",0,0,8,1,7,5
"4911","SLIRP",754,753,765,581,723,1122
"4912","RBM25",14592,10490,5612,4476,7069,1319
"4913","ALDH6A1",3713,2461,893,972,808,386
"4914","GPR68",37,17,1444,77,116,133
"4915","ESRRB",1,2,2,2,0,0
"4916","EIF2B2",1316,1166,1052,796,905,1307
"4917","NRDE2",1350,979,1180,716,1576,599
"4918","COQ6",1058,716,336,287,783,1004
"4919","ZNF410",1376,1088,748,480,975,1702
"4920","RHOQ",652,573,960,271,662,169
"4921","GPR75",87,74,53,44,111,10
"4922","SUPT7L",3283,2521,778,698,2771,3020
"4923","KLHL29",13,2,1,70,64,137
"4924","DNMT3A",6343,8395,3757,2897,4141,3070
"4925","TMEM214",887,292,150,153,510,1967
"4926","ATAD2B",307,208,34,178,134,141
"4927","FKBP1B",7,19,6,4,3,32
"4928","ATL2",1827,1220,1139,1337,942,610
"4929","YPEL5",3073,5769,1120,927,2155,1503
"4930","FAM98A",256,137,76,78,202,27
"4931","YIPF4",3237,1964,1496,1724,1426,821
"4932","AFTPH",1977,2382,1904,1506,1565,776
"4933","LGALSL",0,5,4,0,9,12
"4934","CNRIP1",30,38,0,6,1,18
"4935","BCL11A",9271,18280,3778,4018,4319,4308
"4936","CRIPT",333,264,215,156,425,251
"4937","EPCAM",0,47,0,0,2,2
"4938","SLC17A5",540,197,655,263,252,133
"4939","OGFRL1",2565,4199,3249,1738,3339,2023
"4940","SLF2",5166,3946,2479,1968,2345,1179
"4941","IDE",251,274,157,177,156,388
"4942","TECTB",0,0,0,0,0,0
"4943","ELOVL3",7,0,1,0,8,1
"4944","IFIT3",195,629,959,151,566,771
"4945","NKX2-3",0,0,0,0,0,0
"4946","IFIT2",323,389,390,58,426,394
"4947","GPAM",913,862,592,454,671,295
"4948","CUTC",252,189,154,221,76,54
"4949","PPP1R3C",68,4,0,3,4,7
"4950","PYROXD2",338,430,46,87,155,1041
"4951","CNNM1",0,0,0,0,0,0
"4952","MXI1",1780,1397,288,429,226,147
"4953","SMNDC1",2245,2240,1532,1616,400,268
"4954","C10orf88",328,278,274,227,370,189
"4955","HELLS",2086,1665,761,1119,922,643
"4956","PRLHR",0,4,1,2,15,11
"4957","TCTN3",66,254,121,182,21,24
"4958","DENND10",1030,1033,773,313,462,281
"4959","AVPI1",140,92,46,57,8,99
"4960","WDR11",2307,1017,459,344,1230,601
"4961","ARMH3",2080,2388,1141,971,1523,1280
"4962","KCNIP2",39,39,8,16,62,133
"4963","CFAP58",196,129,79,127,28,119
"4964","GOT1",1678,1552,1170,1043,918,2248
"4965","CPN1",0,0,0,0,0,0
"4966","C10orf95",21,7,3,2,3,2
"4967","SFRP5",0,0,0,0,4,5
"4968","GNA13",5229,5545,4381,3883,2859,548
"4969","HOXB8",0,0,0,0,0,2
"4970","KANSL1",2802,2319,363,1960,553,902
"4971","HOXB5",0,0,0,0,0,3
"4973","HOXB3",0,2,0,209,21,233
"4974","HOXB1",0,0,0,0,0,0
"4975","DUSP1",2112,8245,1275,2847,9106,9897
"4976","PANK3",4855,3426,2929,3598,2126,318
"4977","MSX2",0,0,0,0,0,0
"4978","TEK",0,0,0,0,0,1
"4979","RCL1",337,477,569,323,516,224
"4980","CAAP1",0,20,892,336,417,62
"4981","EQTN",0,0,2,0,4,2
"4982","MOB3B",14,0,1132,430,893,236
"4983","INSL6",0,0,0,0,1,0
"4984","INSL4",0,0,4,0,0,0
"4985","MLANA",7,6,0,1,7,9
"4986","CD274",0,37,49,3,17,46
"4987","IFNA6",0,0,0,0,0,0
"4988","IFNA8",0,0,0,0,0,0
"4989","GRIA2",0,0,0,0,0,0
"4990","NUP43",3695,2313,1661,2103,1488,1489
"4991","MTHFD1L",3804,2835,2472,2949,1632,1780
"4992","LRP11",480,612,51,836,139,578
"4993","CCDC170",11,3,0,1,0,2
"4994","PCMT1",1775,1463,1050,1196,677,1277
"4995","PLEKHG1",1225,2012,210,12,1438,688
"4996","MYCT1",0,0,0,0,0,0
"4997","TASL",8443,4239,5611,6076,1128,1123
"4998","MAGEB4",0,0,0,0,0,0
"4999","CYSTM1",615,552,81,118,258,1131
"5000","WDR55",3628,2522,1948,2073,1745,3238
"5001","ARAP3",3,39,4,2,58,309
"5002","PCDHB8",0,9,0,8,0,1
"5003","PCDHB10",36,61,1,3,0,5
"5004","PCDHB14",368,633,3,75,18,235
"5005","PCDHB12",163,238,0,6,0,5
"5006","SLC25A2",1,0,1,0,13,9
"5007","TNN",0,5,6,0,0,2
"5008","MRPS14",1339,1196,931,739,1030,663
"5009","CENPL",989,884,657,877,469,215
"5010","TNFSF18",0,3,19,2,0,9
"5011","SEC16B",2,1,0,0,6,2
"5012","GORAB",554,456,252,264,451,191
"5013","GPR31",0,0,0,0,0,0
"5014","ACAT2",3349,2549,2116,2018,1342,1796
"5015","TCP1",9093,9943,6619,8573,4078,6281
"5016","TTLL2",0,0,0,0,0,0
"5017","SNX19",4519,4470,2739,2308,3032,1509
"5018","KCNJ5",3,2,2,14,17,52
"5019","MSANTD2",998,705,218,186,495,444
"5020","TP53AIP1",2,0,0,1,0,8
"5021","TEX11",2,3,0,2,0,1
"5022","ARR3",0,0,0,0,0,0
"5023","PDZD11",1593,1771,667,476,686,1203
"5024","SLC10A7",500,378,230,161,126,25
"5025","NUDCD1",1274,1291,962,1451,730,371
"5026","ENY2",3060,3720,2184,2913,1567,1764
"5027","MASTL",1500,1225,695,1066,547,652
"5028","KIAA1217",0,0,0,156,0,14
"5030","LYZL1",0,0,0,0,0,0
"5031","PLXDC2",57,73,167,52,17,60
"5032","EPC1",1183,2482,813,952,1259,366
"5033","IQSEC3",3,14,0,0,24,3
"5034","CCDC77",1274,669,740,401,575,257
"5035","TAF12",1442,1319,1088,816,748,1034
"5036","ENOX1",0,0,0,0,0,0
"5037","TNFSF11",0,1,0,20,0,48
"5038","MTRF1",620,638,242,234,505,289
"5039","SOHLH2",93,25,0,5,5,9
"5040","DNAJC15",749,1342,368,610,649,1180
"5041","PROSER1",6304,4584,3110,4508,2352,943
"5042","UFM1",2850,3080,1498,2138,1077,703
"5043","WBP4",1474,1056,998,826,616,594
"5044","ELF1",10821,7352,9613,11000,4594,841
"5045","SMAD9",23,6,0,62,0,1
"5046","HSPH1",10054,9302,4150,8162,2685,9691
"5047","KBTBD7",374,82,445,346,75,16
"5048","ALG5",970,1091,728,1208,556,870
"5049","EXOSC8",1708,1400,993,1425,1209,1317
"5050","ETF1",1131,1134,1142,1180,847,20
"5051","TGFBI",17,217,40,276,68,167
"5052","FAM53C",504,538,99,191,333,81
"5053","SIL1",990,1113,486,383,428,1261
"5054","PAIP2",8380,9369,6136,8615,3247,4208
"5055","MYOT",0,0,0,1,0,0
"5056","KDM3B",1127,1127,897,581,2107,2234
"5057","EGR1",2872,9752,895,881,1627,7890
"5058","SERP1",7903,6879,4902,6254,3338,4439
"5059","PLS1",101,169,91,90,177,19
"5060","ZFP30",1304,388,643,717,178,94
"5061","NR2C1",1757,1448,522,438,962,323
"5062","UTP20",1550,1836,1928,1931,1254,578
"5063","TMPO",24597,31088,20646,23605,12962,4962
"5064","ARL1",367,490,284,268,393,120
"5065","GLT8D2",4,2,0,5,2,11
"5066","MTERF2",1131,671,179,124,242,217
"5067","SOCS2",12330,20464,5474,307,10380,2414
"5068","NFYB",1870,1827,1250,1574,941,658
"5069","WASHC3",304,623,279,105,515,358
"5070","APAF1",5607,5755,3567,2933,3554,894
"5071","DUSP4",8,4,73,687,5,108
"5072","CLU",6,69,0,18,36,768
"5073","TNFRSF10B",834,778,1695,61,1623,496
"5074","SORBS3",914,1240,1192,1076,2962,14148
"5075","PTK2B",4300,5086,15452,17342,19005,18435
"5076","CHRNA2",0,0,0,0,0,3
"5077","ADRA1A",2,1,0,1,6,3
"5078","PPP3CC",885,1380,579,829,1322,1431
"5079","PDLIM2",188,679,301,102,1209,1783
"5080","EPHX2",0,14,0,0,33,23
"5081","RNF170",468,356,557,584,526,367
"5082","NPPB",0,0,0,0,0,1
"5083","UBIAD1",1445,1500,1341,1472,871,968
"5084","TARDBP",10809,9349,8463,7904,6763,6621
"5085","TNFRSF8",174,107,130,3,24,67
"5086","PRAMEF2",0,0,0,0,0,0
"5087","ZNF706",3671,3184,3085,2581,2073,2349
"5088","LYPLA1",3820,4048,2612,3124,1179,411
"5089","CRISPLD1",783,943,0,0,1,1
"5090","COPS5",2866,2768,1553,1976,1755,2472
"5091","RDH10",13,38,1,53,14,0
"5092","EPX",0,3,0,0,252,691
"5093","AKAP1",6042,4927,4070,5004,2466,2111
"5094","COIL",1557,1485,1240,1434,791,595
"5095","TRIM25",8091,5735,8081,7827,5902,5363
"5096","SCPEP1",2440,1843,2279,1922,2038,1142
"5097","SPOP",3429,2678,2666,1753,1799,1175
"5098","TBX2",8,3,0,4,0,6
"5099","SLC35B1",958,1176,849,912,1131,1231
"5100","TBX4",0,0,0,0,0,4
"5101","NACA3P",0,0,3,1,0,2
"5102","TEX14",5,5,2,5,3,17
"5103","FAM117A",2431,2278,3358,3350,2806,1954
"5104","NCAPH",4248,4579,3963,4728,3013,1902
"5105","LRAT",0,2,0,0,0,0
"5106","TMEM131L",4946,4956,4161,3880,6942,1469
"5107","MND1",1273,1480,727,599,570,399
