"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AHRR","AHRR",3272.16649582274,7.07804503869845,0.492811959933413,14.362567498676,8.88726887611424e-47,9.51382133188029e-43
"FOSB","FOSB",2531.47015773907,-6.61862341381201,0.573652862575327,-11.5376804433585,8.51915596547555e-31,4.55987823052079e-27
"FILIP1L","FILIP1L",451.065905892272,5.56413731275071,0.69798515765859,7.97171293930627,1.56489966934602e-15,5.5840836534497e-12
"KLF4","KLF4",597.537671868402,-5.09075656364885,0.7215110267084,-7.05568782070228,1.71749022328311e-12,4.59643321006143e-09
"RPL3P4","RPL3P4",2714.02369812377,-8.38758991148688,1.22774199902223,-6.83172027850049,8.39023313573961e-12,1.79634891436185e-08
"SPTB","SPTB",781.799487188938,-4.94516867020687,0.731594190287303,-6.75944223704792,1.38523972272583e-11,2.47149853863001e-08
"CD82","CD82",2859.05165817376,-3.40749711176725,0.510558068952292,-6.67406377252977,2.48815410042376e-11,3.80509852071948e-08
"EMP3","EMP3",591.615532952421,-4.56562339893221,0.699941045674007,-6.52286850035456,6.8975332631068e-11,9.22976169769479e-08
"GRIK5","GRIK5",1934.15645317241,-4.13207459450873,0.658651429871113,-6.27353772740965,3.52935357219648e-10,4.19796999892926e-07
"JUN","JUN",7591.43997488811,-4.34699787686426,0.713754570498204,-6.09032580180892,1.1268113408103e-09,1.20625154033743e-06
"ATP1A1","ATP1A1",3885.37962542732,-5.71225533828709,0.945729104438796,-6.0400545055413,1.54062176506724e-09,1.49930509045862e-06
"H2BC8","H2BC8",173.005678597038,-3.83727174405742,0.645956528905019,-5.94044888835182,2.84242671840363e-09,2.53568150170924e-06
"SCD","SCD",1086.3404625706,4.13683817208619,0.720668459235728,5.74027920754757,9.45205818896725e-09,7.22744877949246e-06
"FOS","FOS",5462.24901221543,-4.42787003485041,0.771084381892771,-5.7423936197247,9.33475225122233e-09,7.22744877949246e-06
"OSM","OSM",197.817422329009,-3.42934329975237,0.600454815945664,-5.71124289235894,1.12154038875598e-08,8.0040599077552e-06
"LRRC14B","LRRC14B",2347.30579992741,3.57994630173947,0.652898942719034,5.48315530552183,4.17805920504258e-08,2.7953827368738e-05
"ZFHX3","ZFHX3",802.922312938711,3.07936001535617,0.565474760702902,5.44561884871472,5.16255787939307e-08,3.25089306464134e-05
"SEMA7A","SEMA7A",244.025287287359,-4.09077932557735,0.76484038110821,-5.34853993934008,8.86666110528918e-08,5.27320039622892e-05
"RPL29","RPL29",9489.23949425472,-5.49469686074621,1.03197630069699,-5.32444093632299,1.01263997895046e-07,5.70542682877086e-05
"RASGRP2","RASGRP2",20128.5419839581,-2.9013161209736,0.547257714753086,-5.30155362411405,1.14821310221019e-07,5.85315298055244e-05
"NOG","NOG",3890.68311752317,4.29199864485308,0.809291586624633,5.30340203183627,1.13664215763096e-07,5.85315298055244e-05
"TREML2","TREML2",454.387451175563,-4.74100399220633,0.903768017007553,-5.24581961630394,1.55589074756102e-07,7.36723969156514e-05
"PTCH1","PTCH1",624.497402752316,3.09328486033832,0.59002323297957,5.24264925080574,1.58287261005136e-07,7.36723969156514e-05
"LOC102724428","LOC102724428",1538.32125257007,-3.18114989828918,0.60876357348237,-5.2255917352146,1.73599025016781e-07,7.74323984501932e-05
"STAG3","STAG3",6019.506723052,-4.62899747564163,0.888449113701198,-5.21019989131133,1.88637282736039e-07,8.07744844675718e-05
"GADD45B","GADD45B",1606.59635268536,-2.13901377851425,0.416605266623325,-5.13438967263045,2.83061081017567e-07,0.000116544956626656
"RPL27","RPL27",6189.05738691643,-4.59288314872641,0.899104315198467,-5.10828729335215,3.25092096866166e-07,0.000128892996183419
"AHNAK","AHNAK",5557.30018417209,-3.80041850667791,0.757860844416922,-5.01466533688232,5.31258526456173e-07,0.000203111518775476
