"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt"
"15","OSM",197.817422329009,-3.42934329975237,0.600454815945664,-5.71124289235894,1.12154038875598e-08,8.0040599077552e-06,26,573,28,44,245,343
"16","LRRC14B",2347.30579992741,3.57994630173947,0.652898942719034,5.48315530552183,4.17805920504258e-08,2.7953827368738e-05,2396,378,6839,3107,502,223
"17","ZFHX3",802.922312938711,3.07936001535617,0.565474760702902,5.44561884871472,5.16255787939307e-08,3.25089306464134e-05,1675,226,2128,628,175,131
"18","SEMA7A",244.025287287359,-4.09077932557735,0.76484038110821,-5.34853993934008,8.86666110528918e-08,5.27320039622892e-05,21,420,48,11,240,726
"19","RPL29",9489.23949425472,-5.49469686074621,1.03197630069699,-5.32444093632299,1.01263997895046e-07,5.70542682877086e-05,554,430,424,312,16215,34205
"20","RASGRP2",20128.5419839581,-2.9013161209736,0.547257714753086,-5.30155362411405,1.14821310221019e-07,5.85315298055244e-05,8091,21833,4478,2966,34174,47547
"21","NOG",3890.68311752317,4.29199864485308,0.809291586624633,5.30340203183627,1.13664215763096e-07,5.85315298055244e-05,5741,181,7073,8686,102,805
"22","TREML2",454.387451175563,-4.74100399220633,0.903768017007553,-5.24581961630394,1.55589074756102e-07,7.36723969156514e-05,34,105,38,27,632,1688
"23","PTCH1",624.497402752316,3.09328486033832,0.59002323297957,5.24264925080574,1.58287261005136e-07,7.36723969156514e-05,1372,140,515,1530,166,94
"24","LOC102724428",1538.32125257007,-3.18114989828918,0.60876357348237,-5.2255917352146,1.73599025016781e-07,7.74323984501932e-05,593,6157,229,202,1117,2154
"25","STAG3",6019.506723052,-4.62899747564163,0.888449113701198,-5.21019989131133,1.88637282736039e-07,8.07744844675718e-05,925,1445,455,200,7909,22699
"26","GADD45B",1606.59635268536,-2.13901377851425,0.416605266623325,-5.13438967263045,2.83061081017567e-07,0.000116544956626656,887,4362,539,467,2182,1923
"27","RPL27",6189.05738691643,-4.59288314872641,0.899104315198467,-5.10828729335215,3.25092096866166e-07,0.000128892996183419,736,915,511,325,10878,20950
"28","AHNAK",5557.30018417209,-3.80041850667791,0.757860844416922,-5.01466533688232,5.31258526456173e-07,0.000203111518775476,363,6823,1335,412,17110,6424
"29","NR4A1",1434.26143812898,-4.33635880308569,0.866908713379798,-5.00209391849301,5.67109488423207e-07,0.000209341623226567,342,6971,73,68,322,2279
