"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt"
"179","IGKC",4302.38890565672,-6.27472583945735,1.82492910345302,-3.43833951005805,0.000585293366041082,0.0348086971303877,43,16,179,84,4469,18736
"180","ASIC3",403.710151237742,-3.79004190203546,1.10183508711416,-3.4397542303377,0.000582242654148297,0.0348086971303877,121,67,15,51,165,1847
"181","RELL1",539.824147253018,1.87588267776252,0.547310869722668,3.42745372243942,0.000609270140640195,0.0360344577654878,960,462,1007,627,182,126
"182","EDC4",3110.67203350232,-2.63932471971574,0.770789909523755,-3.42418172202915,0.000616653706691713,0.0361840360083861,2099,2040,383,558,3308,9916
"183","HAPLN3",192.381105421973,-2.81921739977715,0.823527555098466,-3.42334313202193,0.000618559419853775,0.0361840360083861,43,186,41,57,109,682
"184","GDF11",1759.75719905756,2.42931469848059,0.711143220138269,3.41606954785881,0.000635320188438377,0.0365650678345851,2170,1398,4156,2312,338,190
"185","CARMIL3",137.509295907141,-3.18542448103441,0.932412581918567,-3.41632507197614,0.000634724284949164,0.0365650678345851,66,44,19,11,403,243
"186","TBKBP1",5812.88765682026,-2.09691841542949,0.613668703334806,-3.41702029781606,0.000633105591215454,0.0365650678345851,4017,7062,1912,1368,4811,16006
"187","PILRA",499.762935089922,-2.87555999355589,0.842443186152226,-3.41335776800537,0.000641676432850311,0.0367334022120993,139,156,167,63,771,1523
"188","RNA5-8SP6",220.60948300736,-2.6568911063132,0.778860839523696,-3.41125265450243,0.000646651415338388,0.0368212946872205,99,130,43,53,233,717
"189","GABRG2",412.601029112708,-2.25403579611986,0.663524167963168,-3.39706661030768,0.000681123849165525,0.0383759516069313,309,336,82,99,717,912
"190","RGL1",3122.38390935793,1.90354327222571,0.560116937545418,3.39847475523155,0.000677627164879832,0.0383759516069313,4700,1444,6744,3319,759,1831
"191","PIM1",2621.280417845,-1.60985242249603,0.474825364447604,-3.39040949164306,0.000697882944667267,0.0391143294380267,1296,4755,1735,868,3507,3956
"192","PDIK1L",573.519543050712,1.86464501404961,0.550678485293394,3.38608655294777,0.000708970187810869,0.0395287805235174,1035,477,783,925,228,113
"193","NHSL1",591.094128773202,1.79491552594371,0.531027838027208,3.3800780249335,0.000724652548341297,0.0399866264432659,810,371,662,1221,195,268
"194","ZNF253",1003.96823811235,1.97166208290031,0.583134934559446,3.38114210974152,0.000721851994216905,0.0399866264432659,2422,818,1108,1561,388,154
"195","TMEM38A",70.1031473725133,2.56812831425998,0.763030686390519,3.36569467003797,0.000763511708814735,0.0407759107092406,127,15,180,58,23,22
"196","TRAF4",478.912151605358,-1.47886571588813,0.438714976475073,-3.37090319498622,0.00074922180205066,0.0407759107092406,387,706,214,207,780,652
"197","PILRB",9518.70178617659,-2.30120475464799,0.683878118836672,-3.3649340302955,0.00076561962191101,0.0407759107092406,7776,6906,1990,1587,17853,20542
"198","SYTL1",6175.35755972455,-2.89854859919996,0.85946717599154,-3.37249482024254,0.00074490487598661,0.0407759107092406,2965,2228,1710,305,14833,13343
"199","SNTB1",1403.87316367961,3.41344691916034,1.01357101158294,3.36774323668688,0.000757861413392256,0.0407759107092406,192,108,2857,3717,465,117
"200","PARP10",3034.13697118565,-2.63774043697149,0.783233909518445,-3.36775566649464,0.000757827248684273,0.0407759107092406,1543,1512,515,718,2641,10591
"201","TMEM86B",1046.00371632917,-2.47711320070601,0.735865142244392,-3.36625973768889,0.000761949262135988,0.0407759107092406,481,642,340,198,995,3403
"202","RASAL2",165.262344302179,-3.22051736323005,0.959102839246985,-3.35784363411806,0.00078553036174782,0.0415732784672481,44,26,20,36,348,449
"203","GSR",329.350397273245,3.10089294122497,0.924497616680415,3.35413838313539,0.000796125369994009,0.0415732784672481,101,168,735,746,50,20
"204","HMBS",1386.01680888879,-1.38343477529454,0.412371900642875,-3.35482309327528,0.000794157535037775,0.0415732784672481,1013,2574,707,674,1420,2256
"205","H2BC9",105.182263960809,-2.78801198512149,0.831079792524067,-3.35468628909149,0.000794550344632774,0.0415732784672481,41,51,22,22,308,158
"206","STING1",1906.73378118356,-2.31541728786078,0.691344713816618,-3.34915020189907,0.000810598389113851,0.0420161372003452,852,2964,983,178,1857,4749
"207","SPACDR",391.855134941936,-3.52378362427759,1.0523418809436,-3.34851599854407,0.000812455899156605,0.0420161372003452,144,75,53,22,193,1726
"208","PFKFB3",1936.13407981172,1.49531158939632,0.447490519205284,3.34154920656621,0.000833122477726944,0.0428777698272449,4227,1005,1856,2965,1075,992
"209","ADCY7",2506.38530421195,-1.75992219260095,0.527198559433492,-3.33825303789164,0.000843069363918124,0.0431820934963805,1563,4256,1527,518,4451,3143
"210","FMNL1",6106.35140196047,-1.72390155988507,0.516650782957259,-3.33668624291562,0.000847836021198048,0.0432194505091671,3137,8328,3841,1692,11120,8659
"211","SYNJ2",830.914268281731,1.67638582021387,0.503984159430555,3.32626688526876,0.000880176088867327,0.0442910077517818,1149,502,1667,950,294,437
"212","CBFA2T3",4870.34234603282,-1.78419293396802,0.536661483779095,-3.32461521442528,0.000885406413720812,0.0442910077517818,4557,7544,1899,1025,5887,9465
"213","LTBP3",1417.24904310932,-2.59267437175545,0.779691209078326,-3.32525792463436,0.000883367736530011,0.0442910077517818,675,665,399,240,1367,4813
"214","ZNF813",584.168413388927,1.68865165276464,0.507349307961806,3.32838071574104,0.000873524035021278,0.0442910077517818,1046,504,660,1014,175,228
"215","ATP6V0A1",249.079250329009,-3.31125176422748,0.99851488851662,-3.31617665626061,0.000912581226609473,0.0453299187546185,11,131,40,72,189,956
"216","VCP",1170.82562776435,-2.14386672353881,0.646862431804067,-3.31425449698736,0.000918878315717162,0.0453299187546185,494,1018,537,293,3207,1293
"217","NFKBID",386.959753645626,-2.35542065455713,0.710434399603568,-3.31546537705872,0.000914906736662264,0.0453299187546185,241,439,153,31,624,838
"218","ATP2B1",2915.84964127155,2.13942844265866,0.646941246197223,3.30699032599082,0.000943041487117644,0.0460970736054538,2806,1719,3957,6663,1273,471
"219","RAPGEF3",1554.29642959259,-3.01414957871834,0.911105141128996,-3.30823462919259,0.000938861157444547,0.0460970736054538,654,478,437,62,4563,2653
"220","NOS2",364.294340118602,-3.05271102395252,0.923906684339704,-3.30413349713367,0.00095270454109427,0.0461479733593401,168,292,45,55,103,1471
"221","POLR1F",1590.83403687334,2.40113443986475,0.726502397518435,3.30506058626437,0.000949558710644784,0.0461479733593401,1250,1053,1914,4247,433,214
"222","MDH1",467.231507377622,-3.05935842475487,0.927555926913868,-3.29830076654662,0.000972718819522733,0.0463487209122364,159,62,83,80,767,1469
"223","THEMIS2",2093.77948485371,-2.11039956519091,0.639512725030428,-3.30001184118814,0.000966807491038788,0.0463487209122364,941,2526,1213,287,4484,3034
"224","SIK1",231.093610338912,-2.32867715791319,0.706112742012135,-3.29788292911611,0.000974167417585539,0.0463487209122364,90,401,34,109,178,595
"225","NBAS",485.703099745493,-3.5670510050695,1.08070294906986,-3.30067666433184,0.000964519683866481,0.0463487209122364,16,238,169,23,335,1947
"226","TNFRSF10D",505.109278215749,-2.7593797916773,0.837414975390099,-3.29511636735644,0.000983809310162977,0.0464448862391081,132,310,203,59,402,1787
"227","MS4A4E",685.753775033775,-2.57017489891381,0.780066591393771,-3.29481473411339,0.000984865873542973,0.0464448862391081,316,255,150,170,920,2109
"228","NTN5",89.0864256292047,-2.7826714452692,0.845557769972252,-3.29093001576996,0.000998567524856881,0.0466797613694014,43,75,13,19,79,294
"229","R3HDM4",595.251682536213,-2.33445029106758,0.709191020487074,-3.29170875494769,0.00099580679959678,0.0466797613694014,337,289,180,127,1306,1205
"230","LASP1NB",84.5707934760065,-2.48878692154596,0.757132150803135,-3.28712354759464,0.0010121641694232,0.0471096410159799,51,82,21,14,216,119
"231","VPS4A",1273.35830952597,-2.25319173191785,0.685833380470924,-3.28533401271706,0.00101861540179083,0.0472046661306096,961,1168,273,284,1218,3719
"232","TASL",4192.76554955486,1.76305773933657,0.539165844945829,3.26997297003061,0.00107557761477618,0.0492053776332438,8443,4239,5611,6076,1128,1123
"233","HERC2",543.222311307988,-2.36686581804732,0.72332286832891,-3.2722120669508,0.00106709502802806,0.0492053776332438,265,326,154,143,571,1688
"234","LAT",462.359836977153,-2.9103941844141,0.8897484953922,-3.27103018379503,0.00107156472742884,0.0492053776332438,285,294,67,40,299,1727
"235","TFEB",3389.18286172934,-2.08117547484726,0.636838659868822,-3.26797916959995,0.00108318337466082,0.0493424596840176,1892,3213,1189,1029,2877,9861
