"","id","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt","DS76_C","DS81_C","K_C","N_C","S_C","DS1_C"
"8608","CPNE7",751,252,417,331,2214,981,1246,939,701,1954,938,1292
"8609","MPI",2058,1796,1340,1745,1193,2569,1611,2070,1882,1785,2017,1376
"8610","TRIM73",1206,299,181,94,1062,1478,191,99,69,11,85,806
"8611","EFCAB13",239,204,58,68,177,77,61,72,46,133,0,160
"8612","APOLD1",117,283,84,55,645,38,503,454,816,108,725,589
"8613","EXOSC4",486,507,604,562,408,1258,636,592,1074,537,742,325
"8614","DPY19L3",2781,1677,825,648,1017,156,870,683,1113,1355,869,1859
"8615","TAF7",8223,7400,5335,5284,3884,4093,5629,5570,5622,3974,5931,5497
"8616","ZNF852",755,454,207,273,572,89,218,288,146,233,169,505
"8617","PFAS",926,434,244,163,897,475,3947,3157,7673,9275,7655,4564
"8618","HYI",1787,2079,472,527,629,3014,NA,NA,NA,NA,NA,NA
"8619","CYBC1",9575,3616,3761,2844,10166,9564,NA,NA,NA,NA,NA,NA
"8620","ZNF552",530,275,322,290,221,176,340,306,262,439,143,354
"8621","GAK",8722,8775,4708,3872,7777,7947,4967,4081,5151,3582,4520,5831
"8622","ZBTB7A",6441,3037,3931,3004,1362,1504,4148,3166,3154,2519,3526,4306
"8623","TUFM",9896,13006,7635,8659,7722,14280,8056,9127,10959,12839,15033,6616
"8624","RMI1",1829,1117,1073,1337,547,272,1132,1409,1720,1646,1339,1223
"8625","CTC1",4324,3562,1628,431,7179,1419,1718,454,3194,1302,1428,2891
"8626","FBXO34",2204,1857,1003,1088,849,400,1058,1147,1253,1878,1441,1473
"8627","SELENOW",1812,1349,678,302,1755,4209,NA,NA,NA,NA,NA,NA
"8628","EIF3K",5953,7229,5825,5830,5841,13076,6146,6145,5796,5847,7492,3980
"8629","MRFAP1L1",2997,2054,1998,1765,1303,1335,2108,1860,1806,1872,1781,2004
"8630","SNX18",1217,1456,1532,1106,1067,277,1626,1166,2074,12,800,814
"8631","AURKB",5072,3998,2713,1858,1861,2207,3199,2199,5542,3480,4075,3677
"8632","MRFAP1",7771,7794,5499,5266,3316,4528,5881,5675,7200,6669,7275,5268
"8633","C3orf38",1375,969,767,793,500,162,809,836,926,863,1123,919
"8634","TMEM107",1165,553,309,315,577,503,326,332,406,219,435,779
"8635","RRS1",1891,1329,1650,2300,697,709,1741,2424,1976,2711,2533,1264
"8636","RCC2",22057,21086,17174,20076,12271,11985,18120,21162,26239,27729,27063,14746
"8637","DPM3",285,398,321,192,552,1145,339,202,224,275,263,191
"8638","CYC1",3586,4539,2847,4739,3218,6639,3004,4995,4670,4673,6539,2397
"8639","PER1",3447,5451,1857,917,1348,3993,NA,NA,NA,NA,NA,NA
"8640","FARSA",5227,5085,4632,4515,3435,5138,4887,4759,5809,7831,7445,3495
"8641","SPTY2D1",2207,1956,1775,1505,809,323,1873,1586,1655,2447,1543,1475
"8642","SAMD4B",3923,4460,2030,2066,3383,3013,2337,2598,2297,2530,2648,3046
"8643","EDC3",2853,2991,2045,1952,1802,3445,2158,2058,2386,2002,2634,1907
"8644","TCAIM",1255,1283,766,627,447,201,808,661,734,588,665,839
"8645","FUCA1",715,825,1303,1324,969,1186,1375,1396,1111,127,372,478
"8646","ZNF664",7409,6886,4193,3862,2391,827,4424,4071,5054,6417,7774,4953
"8647","CALR",31471,34727,27163,28620,12939,36111,28660,30168,22677,32267,31830,21040
