"","id","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt","DS76_C","DS81_C","K_C","N_C","S_C","DS1_C"
"3942","APOL2",37,26,171,141,1044,187,1270,834,833,533,773,1224
"3943","RAC2",317,410,243,71,1023,437,14069,6069,20136,4784,9042,5480
"3944","APOBEC3F",39,65,53,33,168,62,3879,2633,5076,2176,1975,1929
"3945","EMC4",2071,2271,1482,1543,1387,1657,1564,1626,1528,1601,1978,1385
"3946","SPECC1",652,1012,1265,403,1236,1046,1378,439,219,22,322,437
"3947","DOCK4",26,20,214,172,47,64,226,181,22,231,67,17
"3948","POT1",1738,1380,1142,1505,763,407,1205,1586,1023,1224,1047,1162
"3949","ATP6V1F",2956,3398,2048,2012,1754,4099,2161,2121,2446,2119,1889,1976
"3950","LSM8",4037,3180,1878,2054,1492,1354,1981,2165,2713,2122,2641,2699
"3951","PRKRIP1",7139,5391,1525,1492,3718,3749,1609,1573,1446,1384,1318,4773
"3952","PODXL",2947,987,188,684,198,160,198,721,526,3621,1190,1970
"3953","STRIP2",475,346,143,166,298,253,151,175,162,175,136,318
"3954","IFT22",722,898,412,323,260,495,435,340,452,549,439,483
"3955","MKLN1",716,877,672,632,288,446,2142,2470,1710,1847,1807,2083
"3956","DNAJB9",718,441,192,346,81,143,203,365,195,251,235,480
"3957","LRRC4",15,11,37,76,25,31,39,80,2,13,0,10
"3958","CALU",4089,4505,2733,4029,1445,2016,2884,4247,2617,4398,4353,2734
"3959","CCDC136",424,330,12,281,94,557,13,296,564,288,550,283
"3960","SMO",1764,1317,402,836,393,3072,424,881,39,112,0,1179
"3961","IRF5",512,175,442,176,713,366,810,425,373,182,101,580
"3962","NDUFA5",2844,3048,2035,1574,975,516,2147,1659,1269,1994,2415,1901
"3963","MRPS12",891,1112,1095,1321,1061,2752,1155,1392,1574,1521,1788,596
"3964","MYO1B",2559,1902,2644,896,149,182,2790,944,32,0,2803,1711
"3965","OSGEPL1",74,162,70,68,200,79,143,137,262,182,236,94
"3966","ORMDL1",3121,2790,1025,1554,2200,1200,1081,1638,1168,1334,1363,2087
"3967","HAT1",3046,3466,2154,2248,1461,1626,2273,2370,2811,2617,2187,2036
"3968","HERC2",265,326,154,143,571,1688,4994,5621,4630,4485,4859,6030
"3969","SNRPN",4105,4185,2451,2440,2773,4184,2771,2847,3769,2483,7118,2984
"3970","PSMG2",674,729,477,682,1342,1600,1487,1574,1429,1704,1488,1346
"3971","ARHGAP22",25,41,181,32,358,292,NA,NA,NA,NA,NA,NA
"3972","WDFY4",512,238,102,190,743,2738,5636,5089,7068,5959,2853,4055
"3973","EIF2AK4",41,102,57,54,327,1354,6667,6789,1174,2500,2966,2342
"3974","MYO5C",156,152,118,34,201,20,2386,776,40,1297,53,1857
"3975","CGNL1",128,133,21,78,75,57,NA,NA,NA,NA,NA,NA
"3976","TMOD2",816,700,90,440,1186,425,95,464,0,196,14,546
"3977","ELL3",354,210,503,364,485,310,531,384,572,152,1933,237
"3978","CCDC32",460,359,664,535,561,648,NA,NA,NA,NA,NA,NA
"3979","INO80",2328,2473,5696,2880,5629,1794,6033,3100,2582,4981,2996,1556
"3980","ICE2",3015,3434,1994,2026,1599,686,NA,NA,NA,NA,NA,NA
"3981","DLL4",17,14,34,35,102,225,36,37,7,91,62,11
"3982","MINDY2",550,370,952,1546,440,122,NA,NA,NA,NA,NA,NA
"3983","IVD",2227,1946,2503,2597,3250,4113,2641,2737,2736,3894,4435,1489
"3984","KNSTRN",845,653,1144,1247,818,599,1207,1314,2326,1711,3388,565
"3985","DUT",5155,5982,5326,6362,5050,6852,5619,6706,8240,7618,10257,3446
"3986","CLN6",414,276,424,433,832,633,3352,2683,2374,2087,3378,1177
"3987","ARPP19",3556,3322,5423,5849,2979,1600,5722,6165,6297,4859,10375,2377
"3988","VPS13C",10241,10019,4681,4737,8245,830,4939,4993,4196,5237,4656,6847
"3989","CALML4",946,846,798,329,1594,919,842,347,75,302,123,632
"3990","ANAPC13",975,887,682,850,692,842,720,896,650,1124,682,652
"3991","MBD4",2894,2420,1653,1484,1617,1015,1744,1564,2614,1791,1804,1935
"3992","COPB1",6685,7013,4766,4628,3303,2078,5029,4878,4490,4266,4238,4469
"3993","PSMA1",4907,6177,3809,3617,3447,3621,4019,3813,4568,4585,4852,3281
"3994","SUMF2",2201,2875,3091,4131,2477,4087,3306,4468,3502,3956,3963,1496
"3995","PALLD",720,955,22,40,89,65,NA,NA,NA,NA,NA,NA
"3996","SPCS3",4878,4609,2662,3011,2230,1197,2809,3174,3592,4746,5378,3261
"3997","SERGEF",229,262,55,157,172,330,223,350,338,436,368,380
"3998","TPH1",120,87,13,40,61,27,14,42,14,29,29,80
"3999","E2F8",2574,1190,1584,2467,1556,677,1671,2600,2556,1841,2283,1721
"4000","DCTD",2515,2796,2040,1777,1931,931,2152,1873,2485,3162,2722,1681
"4001","PIMREG",603,545,403,121,369,87,NA,NA,NA,NA,NA,NA
"4002","RPAIN",3304,1970,1257,594,2160,994,1329,626,1216,1650,1068,2211
"4003","PLD2",403,219,85,17,169,101,288,132,350,433,307,399
"4004","TXNDC17",797,934,824,433,555,647,869,456,1142,1113,871,533
"4005","FXR2",73,112,30,11,143,202,1728,769,2126,1684,2058,1824
"4006","KIF1C",192,193,180,66,160,176,2167,1231,2853,2032,2930,1832
"4007","MPDU1",759,1102,633,234,1077,1069,1500,674,835,755,1591,1057
"4008","PHF20L1",4399,3902,2797,3059,2416,748,2971,3224,2016,2481,2659,2941
"4009","DNAAF11",39,49,36,15,83,43,NA,NA,NA,NA,NA,NA
"4010","CCNT1",3763,2645,2254,2819,1453,708,2378,2971,2498,2409,2592,2516
"4011","PUS7L",1749,1420,1098,1300,655,164,1158,1370,1256,2042,1356,1169
"4012","KRI1",3237,3122,3280,1769,5153,7569,3684,2850,6020,3712,5070,2834
"4013","ILF3",32179,36941,23083,26574,28807,24303,24407,28050,31076,28896,29532,21518
"4014","SLC44A2",8203,5725,13258,9819,8679,7970,13988,10350,8102,5212,6827,5484
"4015","CDKN2D",409,2560,658,376,2396,1856,694,396,3197,337,1070,273
"4016","SIGLEC9",60,52,197,77,168,296,208,81,1,5,1,40
"4017","NGDN",1184,1532,1182,1162,968,1450,1247,1225,1160,1311,1424,792
"4018","ADCY4",67,37,22,12,251,273,23,13,24,4,2,45
"4019","RAB2B",1272,1243,547,356,673,304,577,375,567,654,522,850
"4020","BCL2L2",2100,1748,656,703,1336,962,660,725,586,574,672,1335
"4021","AJUBA",501,203,627,532,238,128,662,561,168,279,199,335
"4022","DTD2",648,908,374,587,276,184,395,619,563,993,609,433
"4023","PARP2",1849,2014,976,1081,1394,1785,1030,1139,1644,1893,1152,1236
"4024","HEATR5A",633,395,330,285,461,96,348,300,470,673,377,423
"4025","SNX6",2903,3559,1964,2100,1811,2425,2072,2214,1897,2329,2476,1941
"4026","EAPP",1850,2209,1524,1298,755,923,1681,1420,1291,1434,1220,1278
"4027","MIS18BP1",7732,7242,4074,4893,3863,343,4298,5158,3396,2845,2542,5169
"4028","NRL",136,223,141,140,173,156,149,148,173,80,253,91
"4029","NEDD8",347,405,226,160,390,1019,3024,2168,3228,3477,2639,2457
"4030","DAD1",1782,2066,5551,1886,2062,2914,5857,1988,2338,1878,4544,1191
"4031","TEP1",1610,1133,574,360,2828,2255,1735,2015,1792,1018,839,3768
"4032","REEP5",2458,2383,2323,1886,1107,1587,2451,1988,2543,1566,1263,1643
"4033","ITFG1",732,598,483,682,237,449,1303,1716,1018,1016,1296,1147
"4034","QRICH2",851,862,246,169,557,2614,260,178,92,105,83,569
"4035","SEC14L1",2777,2426,2279,1897,1417,2123,2405,2000,2390,1641,1584,1857
"4036","RHBDF2",865,940,1504,796,5403,4413,1587,839,1066,895,602,578
"4037","ARHGEF6",14297,13321,5275,7125,6037,1536,5566,7510,12313,5160,7506,9558
"4038","MAP7D3",2312,2764,932,785,461,68,1918,2078,1879,2608,2508,3527
"4039","ASH2L",456,591,1321,1663,1486,1129,3392,4633,3519,2928,3634,1348
"4040","TTI2",487,306,736,689,495,766,777,726,713,929,671,326
"4041","CHRNA10",79,34,22,30,69,269,23,32,26,28,24,53
"4042","SGO1",1332,1346,685,1248,423,494,NA,NA,NA,NA,NA,NA
"4043","KLF16",3743,4256,2187,2762,3124,3878,2307,2911,1984,1969,2105,2502
"4044","PGAP6",2757,1775,2414,1246,1867,3607,NA,NA,NA,NA,NA,NA
"4045","DOHH",719,1010,755,714,711,1724,797,753,853,967,830,481
"4046","MAU2",1822,1130,559,600,1960,460,3009,4119,2893,2783,3361,4152
"4047","ABHD17A",2665,1609,554,473,2380,5201,3498,2378,3766,906,2779,3634
"4048","CBFA2T3",4557,7544,1899,1025,5887,9465,2004,1080,1352,1628,402,3047
"4049","GAMT",1805,1376,1292,2134,941,5716,1363,2249,1566,1738,2119,1207
"4050","PUDP",505,322,427,313,279,271,NA,NA,NA,NA,NA,NA
"4051","PHF10",5444,4582,2199,3404,1898,3558,2320,3588,2394,4777,3208,3640
"4052","KCNA5",17,34,806,102,400,342,850,108,1,13,10,11
"4053","CRACR2A",1291,1585,1209,726,2090,439,NA,NA,NA,NA,NA,NA
"4054","STARD8",52,119,62,14,276,469,65,15,0,0,1,35
"4055","SAT1",5965,7166,1811,643,2720,3945,1911,678,848,261,542,3988
"4056","GNL3L",8952,6815,3059,3894,1700,603,3228,4105,3524,4253,4073,5985
"4057","MOSPD2",1772,1029,458,406,310,93,483,428,583,604,553,1185
"4058","ECSIT",119,333,275,190,437,1232,1060,1019,1085,1619,1539,457
"4059","LDLR",1435,537,2355,2729,752,955,2485,2877,3566,1920,4288,959
"4060","ELOF1",1630,1770,1342,1037,1044,4477,1416,1093,1538,1153,1338,1090
"4061","PRKCSH",16853,17325,9194,12116,8711,24468,9701,12771,9882,8261,11527,11267
"4062","CDC16",2971,2808,1415,1367,2617,2456,1493,1441,2178,1314,1513,1986
"4063","THEM6",844,729,856,1650,658,1291,903,1739,845,1301,325,564
"4064","NECTIN2",452,60,392,73,364,276,NA,NA,NA,NA,NA,NA
"4065","APOE",145,192,15,33,107,1289,16,35,3,4,12,97
"4066","TOMM40",5863,6401,5458,6556,3592,5436,5759,6911,5909,10339,9583,3920
"4067","XPO7",17,1553,62,52,1833,17,4002,4321,4782,5566,4203,1671
"4068","FAM98C",585,877,189,244,373,1240,199,258,447,393,316,392
"4069","SAFB2",10219,9044,4913,5982,5158,8562,5184,6306,5806,5472,5702,6832
"4070","RPL36",14427,12150,17221,13321,9099,21931,18170,14041,18526,15052,16067,9645
"4071","ATP8B3",855,529,173,462,344,348,210,487,572,173,682,580
"4072","GTPBP3",1234,675,422,891,859,839,1114,1760,2033,2280,1585,1603
"4073","PLVAP",4466,2083,2715,499,643,1447,2865,526,19,0,0,2986
"4074","BST2",2027,3176,2476,762,2972,21621,2612,803,3120,1081,2378,1355
"4075","SLC27A1",869,427,365,132,561,175,2681,801,696,460,571,2342
"4076","NSUN5",1312,1159,2169,1509,1662,2460,2415,1804,2984,1574,2377,1157
"4077","COLGALT1",10251,9262,3726,4171,14343,18196,3931,4397,3611,3727,5730,6853
"4078","DDA1",2757,3264,1798,2048,1771,2901,1897,2159,2219,1942,2459,1843
"4079","MRPL34",1762,1616,1669,1353,1326,1744,1761,1426,1778,1611,1770,1178
"4080","PGLS",4087,3643,3023,2078,3086,4821,NA,NA,NA,NA,NA,NA
"4081","LSM7",1572,1462,490,652,3523,9432,3006,2890,2809,3496,2753,2829
"4082","TULP4",2558,1189,1751,1742,586,228,1847,1836,1770,2026,1369,1710
"4083","SNX9",40,116,1339,339,210,232,1413,357,3974,0,0,27
"4084","RTN4IP1",145,169,321,373,387,338,339,393,1254,915,410,97
"4085","QRSL1",1042,844,2647,2743,2928,1967,2793,2891,6045,4838,1179,697
"4086","MTRES1",284,324,535,421,353,731,NA,NA,NA,NA,NA,NA
"4087","RSPH3",542,461,314,231,173,191,413,332,278,120,146,392
"4088","MLLT1",5903,6167,4025,4394,3893,5642,4247,4632,4237,5242,2743,3946
"4089","AFDN",8981,7745,123,3212,192,1370,NA,NA,NA,NA,NA,NA
"4090","ACTN4",17430,21410,16768,12282,14077,9612,17834,13008,17935,10557,19532,11665
"4091","STK33",180,93,35,232,387,770,37,243,56,46,38,120
"4092","NDUFA10",6085,5726,2700,2032,3725,2741,2849,2142,3269,3674,2798,4068
"4093","ARPC1B",7959,9926,7495,4835,6652,12708,7908,5097,7327,4172,5062,5321
"4094","ZSWIM6",3066,1883,1030,1133,863,220,1087,1194,1602,1332,975,2050
"4095","FCHO1",2733,2022,3392,1876,4147,3313,3600,1977,2392,1541,1493,1881
"4096","MAP1S",5567,5384,5439,3553,4262,9206,5739,3745,3507,2822,3636,3722
"4097","PXDN",31344,15381,13231,12187,13897,6785,13960,12846,3844,15916,4805,20955
"4098","SSBP4",625,962,280,539,1310,2346,1704,1414,1338,361,2409,945
"4099","IQCN",652,813,188,412,1541,8241,NA,NA,NA,NA,NA,NA
"4100","LSM4",2664,3200,1321,2074,1253,2464,3516,5191,5832,4228,4922,3785
"4101","JUND",5305,20669,2458,2892,8262,16332,2593,3048,3233,2461,3434,3547
"4102","TRPM4",50,108,95,35,33,114,100,52,64,12,30,33
"4103","ZNF557",275,308,371,360,56,126,990,1019,892,863,785,842
"4104","CAMSAP1",3473,2606,2049,1851,1216,1047,3177,3084,3594,3034,3008,3644
"4105","UBAC1",2329,3136,1527,1102,1648,2574,1611,1162,1481,1683,2048,1557
"4106","HELZ2",154,491,434,36,1563,1545,458,38,1088,14,274,103
"4107","SAMD10",354,164,261,139,322,190,275,147,232,807,13,237
"4108","LSP1",5165,6444,6431,3333,8057,24066,6785,3513,33816,164,1714,3453
"4109","COL5A1",7975,20845,284,1433,8422,6861,300,1511,1090,0,0,5332
"4110","ATXN10",1288,1587,1229,1263,2054,2770,4328,4343,2724,5687,3831,3156
"4111","TUBGCP2",1802,1505,1886,771,2318,3032,3589,2930,3705,4468,4284,3708
"4112","PNPLA7",1358,1000,314,75,1360,5189,331,79,142,106,66,908
"4113","PAK4",1263,1690,892,876,1002,1060,941,923,1563,1444,1333,844
"4114","ZNF337",1961,1576,810,716,2118,2387,855,755,459,472,456,1311
"4115","CEP85",2947,3033,1372,1889,2170,2156,1448,1991,2371,1989,2233,1970
"4116","TAF4",4146,3688,2368,1456,992,93,2598,1565,2392,1924,2255,2778
"4117","LAMA5",890,141,1193,91,420,226,1259,96,1209,933,5,595
"4118","OSBPL2",3388,2729,2019,675,1540,1092,2130,712,1704,1114,1485,2265
"4119","ADRM1",4681,5211,4639,2837,3549,5966,4895,2990,4704,3707,4512,3129
"4120","ASS1",4076,196,17,2201,74,1170,18,2320,1472,7874,0,2725
"4121","EXOSC2",1645,1362,726,919,2286,1719,1731,1674,2462,2319,2794,1836
"4122","POMT1",3326,1980,356,440,954,2077,554,624,431,335,124,2516
"4123","UCK1",2288,2287,1333,880,1584,3450,1406,928,1575,729,1303,1530
"4124","CHMP2A",2709,3109,2385,1638,1518,4556,2516,1727,3118,1618,2655,1811
"4125","UBE2M",4346,4636,2839,3415,1793,4440,2995,3600,3427,3191,4372,2906
"4126","TRIM28",11328,11897,9714,9854,17489,35546,23217,23898,25183,25442,24392,16410
"4127","METTL26",2365,2032,964,1551,1900,5119,NA,NA,NA,NA,NA,NA
"4128","YIPF2",1939,2000,1041,800,827,1472,1098,843,944,947,1667,1296
"4129","ATG4D",1135,1683,787,749,1920,3884,830,790,1267,843,1391,759
"4130","EIF2S3",33331,29852,10456,13511,6827,4390,11032,14242,14652,5179,21025,22283
"4131","TMEM160",871,1070,668,705,1091,1443,705,743,987,735,701,582
"4132","ZC3H4",1252,1335,1453,1363,679,1467,NA,NA,NA,NA,NA,NA
"4133","NPAS1",160,26,63,27,45,59,65,28,20,91,43,107
"4134","GMFG",4584,6444,5331,3169,5453,7722,5926,3590,6172,4180,2950,3248
"4135","MAP3K10",1237,1513,339,489,1025,1924,358,514,459,669,291,827
"4136","LRRC47",3648,3590,2075,2187,2250,3700,2189,2305,1855,2606,1629,2439
"4137","SESN2",1367,750,812,495,336,2030,857,522,970,896,494,914
"4138","ATP5IF1",2219,1596,585,621,774,1637,NA,NA,NA,NA,NA,NA
"4139","MED18",662,310,738,574,442,621,779,605,1032,716,689,443
"4140","THEMIS2",941,2526,1213,287,4484,3034,1286,326,436,29,205,629
"4141","CLIP1",2950,2764,1635,1286,2064,769,3087,1796,1972,1823,957,2327
"4142","CCDC62",33,69,17,21,108,34,63,62,69,127,40,81
"4143","HIP1R",3628,1613,3029,867,10229,1336,3196,914,3091,1380,292,2425
"4144","ZNF317",526,1981,597,446,1645,872,3161,2771,2845,2802,2385,2369
"4145","PPAN",1958,1294,2651,1592,1677,2036,4553,2613,3547,3711,5531,2265
"4146","EIF3G",8588,10344,6771,7273,7576,13521,7144,7666,8043,6435,9027,5741
"4147","ANGPTL6",286,58,927,32,764,91,977,34,240,64,628,191
"4148","SHFL",2623,2262,963,344,3314,3813,NA,NA,NA,NA,NA,NA
"4149","DNMT1",25257,27099,16439,17415,15735,12103,17345,18357,19570,14612,14279,16886
"4150","ZNF426",2166,1070,825,1083,773,616,870,1142,521,1207,611,1448
"4151","DKC1",2532,1989,935,810,744,438,7220,9174,6347,10876,8660,8204
"4152","PLXNA3",11402,8166,579,1482,3748,8331,611,1562,813,488,1507,7623
"4153","MPP1",20235,18196,5487,2677,8153,2867,5789,2822,870,5254,43,13528
"4154","ZNF331",864,871,334,424,480,1675,641,728,671,1035,735,2547
"4155","LRP3",1492,708,544,252,421,1005,574,266,0,0,0,997
"4156","MTRFR",2018,1103,1286,1429,775,1082,NA,NA,NA,NA,NA,NA
"4157","NOL11",2622,2430,2502,2607,1564,1213,2640,2748,3121,3902,4686,1753
"4158","UBE4B",153,44,50,20,167,224,2812,2610,2886,3147,2500,2521
"4159","CASZ1",1213,1687,897,143,1376,499,946,151,1613,120,337,811
"4160","HABP4",217,137,81,125,63,175,85,132,237,402,403,145
"4161","UBA1",14129,14767,4611,7903,8812,22661,11477,14228,19095,11279,15380,22463
"4162","PPIL4",2264,1123,1172,1651,511,446,1237,1740,1155,1874,1653,1514
"4163","AKAP12",5912,2874,9126,4139,2529,551,9663,4363,8371,22512,0,4279
"4164","SYNE1",2595,2793,4298,845,2292,944,4535,891,1153,1179,478,1735
"4165","ULBP3",104,84,30,222,34,79,32,234,312,835,287,70
"4166","LATS1",2480,2322,1391,1649,1272,256,1468,1738,1073,1173,1277,1658
"4167","AAR2",1820,1875,1670,1282,1341,1455,1762,1351,1516,1719,1124,1217
"4168","RBM39",16876,15944,6070,4971,10537,6828,8233,7022,8478,9581,8473,12751
"4169","ZNF341",478,406,283,254,279,647,299,268,316,243,143,319
"4170","ACSS2",2033,1942,996,660,756,1766,1051,696,554,491,558,1359
"4171","ARHGEF9",2673,2505,535,606,531,700,1170,933,1089,1806,1201,3164
"4172","ATP6V1E1",205,153,103,136,130,278,2586,2042,2288,1882,1893,1803
"4173","ZNF227",558,286,453,380,317,257,1127,1124,923,1026,988,971
"4174","ZNF428",2497,2358,2373,2138,2214,6073,2504,2254,1195,1781,1699,1669
"4175","ZNF141",1466,779,303,524,962,431,320,552,1506,7,14,980
"4176","COX4I1",12114,14272,8563,7861,8400,21663,9035,8286,8975,7852,10823,8099
"4177","EMC8",1607,1648,1093,1050,1146,1698,1153,1107,1355,1547,1531,1074
"4178","GSE1",614,854,312,943,2638,832,1620,2990,5493,2009,5807,1070
"4179","GINS2",3342,3793,1714,2386,1689,3173,1808,2515,4066,1581,3022,2234
"4180","CHMP1A",3754,4156,3058,3094,3104,7476,3226,3261,3209,2863,3494,2510
"4181","SH3BGRL",10926,14150,4253,3221,2322,726,4487,3395,2056,3043,2624,7305
"4182","COX7B",4537,5983,2249,1935,2051,3694,2373,2040,2348,1940,3228,3033
"4183","F12",115,62,15,33,42,177,16,35,333,229,205,77
"4184","PRR7",611,470,209,225,383,907,221,237,791,955,738,408
"4185","NFATC1",610,667,2571,1096,1189,1616,2713,1155,3005,1064,1670,408
"4186","IDO1",25,36,29,12,84,66,31,13,12,5,2,17
"4187","CAP1",13038,15391,18417,12219,12298,10155,19432,12880,17546,8607,10560,8717
"4188","PPT1",4599,5549,4214,5104,2671,3830,4446,5380,3250,3657,4593,3075
"4189","RAB11FIP4",507,342,254,546,1017,465,268,576,1539,13,597,339
"4190","ABCB7",4645,5141,1383,1384,1002,876,1459,1459,1738,1558,2470,3105
"4191","TRAF3",3461,2482,1595,1458,871,1281,1683,1537,665,2601,1704,2314
"4192","HAUS8",338,161,222,186,270,733,923,930,1500,1048,1172,864
"4193","MRPS25",3794,2542,1503,1550,3713,2824,1586,1634,1845,2188,2207,2536
"4194","SH3BP5",254,845,1591,11,9339,950,1679,12,1552,1,2,170
"4195","HACL1",1437,1527,1051,930,111,416,1109,980,1103,900,1125,961
"4196","CAPN7",1940,1644,994,1035,972,297,1049,1091,1015,749,1161,1297
"4197","RFTN1",9595,11460,6903,6655,3275,12314,7283,7015,7088,1316,1714,6415
"4198","RBSN",1217,1250,721,500,1006,489,NA,NA,NA,NA,NA,NA
"4199","SLC6A6",1903,1677,2838,1667,1373,267,2994,1757,2552,2668,608,1272
"4200","NAPSB",19,183,1468,21,843,885,NA,NA,NA,NA,NA,NA
"4201","NR1H2",2852,3169,2063,2236,2817,5240,2177,2357,2420,1371,1833,1907
"4202","KIF3A",1344,1184,365,416,275,91,385,439,545,850,615,899
"4203","MGAT1",8126,8260,8626,6622,7409,12877,9101,6980,4055,5143,3510,5433
"4204","TUBG1",2519,3472,2153,1831,1880,3801,2272,1930,3423,3316,3802,1684
"4205","PSME3",7080,8347,6803,6517,3692,3769,7178,7022,7498,8979,9306,4906
"4206","RPL27",736,915,511,325,10878,20950,23437,16096,20885,17513,25240,14973
"4207","PSMC3IP",1521,1235,418,410,627,1504,441,432,635,587,947,1017
"4208","ACLY",15903,18349,10032,13934,8217,4722,10585,14688,21908,20956,25473,10632
"4209","VPS25",1217,1666,1391,1250,1486,1798,1468,1318,2096,488,1977,814
"4210","AOC2",149,54,15,40,50,193,16,42,54,47,73,100
"4211","NDUFA2",1421,1950,1307,1218,1510,2925,1379,1284,1387,1302,1194,950
"4212","ANKHD1",7790,6989,3210,4275,4265,1659,4492,5712,5262,5113,4489,6078
"4213","DIAPH1",12230,13895,8529,5815,7443,8828,18216,11711,24038,11628,26599,11157
"4214","NDFIP1",2236,1748,39,635,59,608,41,669,545,0,134,1495
"4215","UBE2D2",5497,6607,4119,4138,2785,3340,4346,4362,4727,4386,3997,3675
"4216","EXOC4",3196,3310,2875,2218,2159,1354,3033,2338,2032,2454,2065,2137
"4217","ACAP3",3257,1715,547,613,2747,3662,1378,1833,1604,1317,1319,4057
"4218","C1orf159",1281,1059,455,505,1112,2031,480,532,714,771,753,856
"4219","PPFIA1",747,431,428,575,545,407,2440,2162,2446,2048,2220,2011
"4220","THOC6",467,384,245,295,406,2216,2056,1852,1608,2561,1846,1724
"4221","TRAF7",883,1112,749,778,301,97,5655,6133,5842,6475,5790,4929
"4222","NINJ1",618,813,937,325,1319,2021,989,343,345,535,1003,413
"4223","NPHP4",2578,2336,604,989,1672,2417,637,1042,850,867,934,1724
"4224","IL13RA1",1258,901,285,56,218,301,301,59,0,0,0,841
"4225","WDR44",2545,1836,768,576,593,151,810,607,707,623,886,1701
"4226","ZCCHC9",1127,844,941,703,623,544,993,741,767,1054,775,753
"4227","TOP2A",31252,22050,24124,30850,11385,2478,25453,32519,34960,23239,25128,20893
"4228","STARD3",1878,2263,1161,1109,3321,6788,1953,1835,1712,1344,1401,1828
"4229","RARA",82,114,740,529,687,619,1344,896,1253,2081,1056,107
"4230","KHDRBS3",308,259,410,145,612,716,2728,798,18,0,1208,1406
"4231","CHD1L",5898,6000,3189,3727,3359,2417,3393,3929,3644,2791,4132,4111
"4232","PEX11B",1248,1038,1008,987,978,1257,1064,1040,779,895,725,834
"4233","FMO5",91,100,102,62,221,45,108,65,99,27,33,61
"4234","PIAS3",1718,1825,679,401,1154,1001,716,423,716,1100,1019,1149
"4235","PRKAB2",703,827,300,269,842,376,317,284,427,630,303,470
"4236","PDHA1",12359,12802,4152,3661,2213,2896,4466,4031,3761,5798,6964,8330
"4237","MCCC2",294,276,148,294,360,34,3234,3847,3767,7413,5749,2962
"4238","ZNF304",1124,424,898,877,561,244,NA,NA,NA,NA,NA,NA
"4239","ZSCAN5A",147,164,304,271,340,208,321,286,186,325,306,98
"4240","SELENOS",1179,1036,508,981,390,1686,NA,NA,NA,NA,NA,NA
"4241","CHSY1",4578,5498,2148,2492,1270,1032,2266,2627,2228,2422,2893,3061
"4242","SNRPA1",841,826,289,256,859,519,2388,2740,2941,3559,4470,1889
"4243","LLGL1",3347,3771,1810,894,1689,1327,1946,948,2346,1501,2046,2250
"4244","THAP1",357,334,419,443,329,281,442,467,504,407,298,239
"4245","C19orf12",821,651,497,577,591,751,640,846,654,585,536,697
"4246","FAAP24",330,252,272,348,171,265,NA,NA,NA,NA,NA,NA
"4247","ACTR10",1598,1864,834,806,825,1218,880,850,780,660,796,1068
"4248","GCH1",1621,1310,419,129,559,696,442,745,875,1107,707,1084
"4249","DNAJB1",4818,5460,3185,2723,2564,6093,3360,2870,3098,2995,3147,3221
"4250","ZSWIM4",1474,1594,792,649,893,364,836,684,879,628,1008,985
"4251","FBXW9",322,303,378,273,401,648,399,288,338,255,212,215
"4252","RFX1",2440,1976,1154,827,1397,1375,1218,872,1344,770,1060,1631
"4253","BRME1",1379,1208,205,144,363,986,NA,NA,NA,NA,NA,NA
"4254","DCAF15",420,661,58,122,650,2675,1986,1996,2703,2021,2563,2334
"4255","CC2D1A",1308,989,171,198,781,4061,2398,1812,3305,2256,2823,3695
"4256","TRIM21",1499,1225,1241,778,1004,1539,1309,820,1208,758,1348,1002
"4257","LRRC41",3910,4235,1850,2410,1770,4421,3233,3349,2404,1755,2286,3686
"4258","CCT6B",67,58,39,40,19,22,94,80,45,73,24,77
"4259","DHX30",7194,7781,5614,5319,6272,8102,5923,5607,6502,6486,6713,4810
"4260","RAF1",5817,6333,3410,3762,5229,4747,3598,3965,4079,4232,3967,3889
"4261","NUP210",15300,14324,10716,13908,13980,18415,11306,14660,16988,18450,14400,10229
"4262","HSD17B7",739,593,292,305,310,538,308,321,619,551,750,494
"4263","ENOSF1",21,132,599,28,1252,30,NA,NA,NA,NA,NA,NA
"4264","EMILIN2",2020,654,3941,540,1228,1190,4158,569,110,1992,453,1350
"4265","ARFIP2",1946,2055,1370,1269,1684,3301,1445,1338,1403,1835,1576,1301
"4266","TRIM5",3353,2417,2049,1781,1265,793,2162,1877,1768,1025,1267,2242
"4267","TRIM22",8376,7819,6104,2910,9965,2488,6440,3067,2936,1541,1001,5600
"4268","RRP8",554,524,419,372,439,1591,1010,1237,1243,733,1032,1131
"4269","TIMM10B",22,32,14,26,59,70,1231,1419,1208,1521,1575,1210
"4270","EFR3A",554,204,640,504,579,219,4173,3209,1880,1904,2033,2991
"4271","HHLA1",83,65,13,12,106,374,14,13,14,87,242,55
"4272","PTCD3",1433,1167,854,1034,1102,461,2407,3115,2461,6726,4200,2860
"4273","IMMT",6576,5746,4994,4040,3395,3245,5269,4259,7772,8033,8444,4396
"4274","MRPL35",1582,1116,1111,995,725,629,1223,1130,790,1816,1688,1098
"4275","ILKAP",1466,1747,1136,1006,1484,3526,1199,1060,1117,1020,1087,980
"4276","PER2",1684,1689,1551,2407,886,383,1636,2537,1928,2055,1734,1126
"4277","SCLY",1432,942,762,466,535,447,1065,532,888,1760,915,957
"4278","PTPRE",5646,6040,8091,3013,9016,2907,8537,3176,3780,1838,285,3775
